	SampleID	Field	SampleType	Cultivar	Pathogen
m1cmr2	m1cmr2	Field1	Rhizo	Manresa	none
m1cmr3	m1cmr3	Field1	Rhizo	Manresa	none
m1cmt2	m1cmt2	Field1	Root	Manresa	none
m1cmt3	m1cmt3	Field1	Root	Manresa	none
m1rmr2	m1rmr2	Field1	Rhizo	Manresa	Mac
m1rmr3	m1rmr3	Field1	Rhizo	Manresa	Mac
m1rmt2	m1rmt2	Field1	Root	Manresa	Mac
m2cmr2	m2cmr2	Field1	Rhizo	Manresa	none
m2cmr3	m2cmr3	Field1	Rhizo	Manresa	none
m2cmt2	m2cmt2	Field1	Root	Manresa	none
m2rmr2	m2rmr2	Field1	Rhizo	Manresa	Mac
m2rmr3	m2rmr3	Field1	Rhizo	Manresa	Mac
m2rmt2	m2rmt2	Field1	Root	Manresa	Mac
m2rmt3	m2rmt3	Field1	Root	Manresa	Mac
m3cmr2	m3cmr2	Field1	Rhizo	Manresa	none
m3cmr3	m3cmr3	Field1	Rhizo	Manresa	none
m3cmt2	m3cmt2	Field1	Root	Manresa	none
m3cmt3	m3cmt3	Field1	Root	Manresa	none
m3rmr2	m3rmr2	Field1	Rhizo	Manresa	Mac
m3rmr3	m3rmr3	Field1	Rhizo	Manresa	Mac
m3rmt3	m3rmt3	Field1	Root	Manresa	Mac
m4rmr2	m4rmr2	Field1	Rhizo	Manresa	Mac
m4rmr3	m4rmr3	Field1	Rhizo	Manresa	Mac
m4rmt2	m4rmt2	Field1	Root	Manresa	Mac
m4rmt3	m4rmt3	Field1	Root	Manresa	Mac
p1cmb1	p1cmb1	Field1	Bulk	none	none
p1cmb2	p1cmb2	Field1	Bulk	none	none
p1cmb3	p1cmb3	Field1	Bulk	none	none
p1rmb1	p1rmb1	Field1	Bulk	none	Mac
p1rmb2	p1rmb2	Field1	Bulk	none	Mac
p1rmb3	p1rmb3	Field1	Bulk	none	Mac
p2cmb1	p2cmb1	Field1	Bulk	none	none
p2cmb2	p2cmb2	Field1	Bulk	none	none
p2cmb3	p2cmb3	Field1	Bulk	none	none
p2rmb1	p2rmb1	Field1	Bulk	none	Mac
p2rmb2	p2rmb2	Field1	Bulk	none	Mac
p2rmb3	p2rmb3	Field1	Bulk	none	Mac
p3cmb1	p3cmb1	Field1	Bulk	none	none
p3cmb2	p3cmb2	Field1	Bulk	none	none
p3cmb3	p3cmb3	Field1	Bulk	none	none
p3rmb1	p3rmb1	Field1	Bulk	none	Mac
p3rmb2	p3rmb2	Field1	Bulk	none	Mac
p3rmb3	p3rmb3	Field1	Bulk	none	Mac
p4rmb1	p4rmb1	Field1	Bulk	none	Mac
p4rmb2	p4rmb2	Field1	Bulk	none	Mac
p4rmb3	p4rmb3	Field1	Bulk	none	Mac
q1cmr2	q1cmr2	Field1	Rhizo	Marquis	none
q1cmr3	q1cmr3	Field1	Rhizo	Marquis	none
q1cmt2	q1cmt2	Field1	Root	Marquis	none
q1cmt3	q1cmt3	Field1	Root	Marquis	none
q1rmr2	q1rmr2	Field1	Rhizo	Marquis	Mac
q1rmr3	q1rmr3	Field1	Rhizo	Marquis	Mac
q1rmt2	q1rmt2	Field1	Root	Marquis	Mac
q1rmt3	q1rmt3	Field1	Root	Marquis	Mac
q2cmr2	q2cmr2	Field1	Rhizo	Marquis	none
q2cmr3	q2cmr3	Field1	Rhizo	Marquis	none
q2cmt2	q2cmt2	Field1	Root	Marquis	none
q2cmt3	q2cmt3	Field1	Root	Marquis	none
q2rmr2	q2rmr2	Field1	Rhizo	Marquis	Mac
q2rmr3	q2rmr3	Field1	Rhizo	Marquis	Mac
q2rmt2	q2rmt2	Field1	Root	Marquis	Mac
q2rmt3	q2rmt3	Field1	Root	Marquis	Mac
q3cmr2	q3cmr2	Field1	Rhizo	Marquis	none
q3cmr3	q3cmr3	Field1	Rhizo	Marquis	none
q3cmt2	q3cmt2	Field1	Root	Marquis	none
q3rmr2	q3rmr2	Field1	Rhizo	Marquis	Mac
q3rmr3	q3rmr3	Field1	Rhizo	Marquis	Mac
q3rmt2	q3rmt2	Field1	Root	Marquis	Mac
q3rmt3	q3rmt3	Field1	Root	Marquis	Mac
q4rmr2	q4rmr2	Field1	Rhizo	Marquis	Mac
q4rmr3	q4rmr3	Field1	Rhizo	Marquis	Mac
q4rmt3	q4rmt3	Field1	Root	Marquis	Mac
s1cmr2	s1cmr2	Field1	Rhizo	SweetAnne	none
s1cmr3	s1cmr3	Field1	Rhizo	SweetAnne	none
s1cmt2	s1cmt2	Field1	Root	SweetAnne	none
s1cmt3	s1cmt3	Field1	Root	SweetAnne	none
s1rmr2	s1rmr2	Field1	Rhizo	SweetAnne	Mac
s1rmr3	s1rmr3	Field1	Rhizo	SweetAnne	Mac
s1rmt3	s1rmt3	Field1	Root	SweetAnne	Mac
s2cmr2	s2cmr2	Field1	Rhizo	SweetAnne	none
s2cmr3	s2cmr3	Field1	Rhizo	SweetAnne	none
s2cmt2	s2cmt2	Field1	Root	SweetAnne	none
s2cmt3	s2cmt3	Field1	Root	SweetAnne	none
s2rmr2	s2rmr2	Field1	Rhizo	SweetAnne	Mac
s2rmr3	s2rmr3	Field1	Rhizo	SweetAnne	Mac
s2rmt2	s2rmt2	Field1	Root	SweetAnne	Mac
s2rmt3	s2rmt3	Field1	Root	SweetAnne	Mac
s3cmr2	s3cmr2	Field1	Rhizo	SweetAnne	none
s3cmr3	s3cmr3	Field1	Rhizo	SweetAnne	none
s3cmt3	s3cmt3	Field1	Root	SweetAnne	none
s3rmr2	s3rmr2	Field1	Rhizo	SweetAnne	Mac
s3rmr3	s3rmr3	Field1	Rhizo	SweetAnne	Mac
s3rmt3	s3rmt3	Field1	Root	SweetAnne	Mac
